Date,Mkt-RF,SMB,HML,RF
1/3/2007,-0.04,0.05,0.14,0.022
1/4/2007,0.16,0.25,-0.52,0.022
1/5/2007,-0.73,-0.91,-0.33,0.022
1/8/2007,0.24,-0.07,0.09,0.022
1/9/2007,0,0.28,-0.21,0.022
1/10/2007,0.23,-0.08,-0.17,0.022
1/11/2007,0.74,0.55,-0.29,0.022
1/12/2007,0.5,0.21,-0.28,0.022
1/16/2007,0,-0.27,0.05,0.022
1/17/2007,-0.14,-0.21,-0.05,0.022
1/18/2007,-0.48,-1.08,0.53,0.022
1/19/2007,0.33,0.43,0.06,0.022
1/22/2007,-0.55,-0.49,0.34,0.022
1/23/2007,0.37,0.6,0.07,0.022
1/24/2007,0.84,0.23,-0.05,0.022
1/25/2007,-1.15,-0.07,-0.09,0.022
1/26/2007,-0.06,0.55,0.11,0.022
1/29/2007,0.02,0.59,0.23,0.022
1/30/2007,0.52,-0.01,0.22,0.022
1/31/2007,0.64,-0.42,0.02,0.022
2/1/2007,0.59,0.34,-0.23,0.02
2/2/2007,0.15,0.1,0.26,0.02
2/5/2007,-0.12,-0.22,0.12,0.02
2/6/2007,0.1,0.28,0.19,0.02
2/7/2007,0.21,0.41,-0.02,0.02
2/8/2007,-0.1,0.24,-0.2,0.02
2/9/2007,-0.76,-0.34,0.15,0.02
2/12/2007,-0.35,0.2,0.1,0.02
2/13/2007,0.72,-0.16,0.32,0.02
2/14/2007,0.73,-0.5,-0.18,0.02
2/15/2007,0.11,0.15,-0.37,0.02
2/16/2007,0,0.26,0.06,0.02
2/20/2007,0.42,0.64,-0.18,0.02
2/21/2007,-0.09,0.3,-0.21,0.02
2/22/2007,-0.06,0.37,-0.12,0.02
2/23/2007,-0.31,0.15,-0.25,0.02
2/26/2007,-0.19,-0.14,0.09,0.02
2/27/2007,-3.43,-0.18,0.03,0.02
2/28/2007,0.47,-0.51,0.36,0.02
3/1/2007,-0.25,-0.09,0.19,0.019
3/2/2007,-1.24,-0.63,0.24,0.019
3/5/2007,-1.11,-0.69,-0.28,0.019
3/6/2007,1.58,0.67,-0.01,0.019
3/7/2007,-0.21,-0.06,-0.01,0.019
3/8/2007,0.68,-0.1,0.11,0.019
3/9/2007,0.09,0.29,0.15,0.019
3/12/2007,0.28,0.27,-0.12,0.019
3/13/2007,-2.03,-0.26,-0.12,0.019
3/14/2007,0.57,0.11,-0.1,0.019
3/15/2007,0.44,0.49,0.13,0.019
3/16/2007,-0.42,-0.12,-0.16,0.019
3/19/2007,1.08,-0.11,0.01,0.019
3/20/2007,0.67,0.03,0.14,0.019
3/21/2007,1.64,-0.15,-0.1,0.019
3/22/2007,-0.02,0.2,-0.32,0.019
3/23/2007,0.08,0.08,0.03,0.019
3/26/2007,0.06,-0.04,-0.08,0.019
3/27/2007,-0.61,-0.21,-0.01,0.019
3/28/2007,-0.74,0.22,-0.04,0.019
3/29/2007,0.29,-0.2,0.17,0.019
3/30/2007,-0.07,0.27,-0.05,0.019
4/2/2007,0.22,0.08,-0.11,0.022
4/3/2007,0.93,0.06,-0.11,0.022
4/4/2007,0.09,-0.17,-0.26,0.022
4/5/2007,0.31,0,-0.08,0.022
4/9/2007,0.05,-0.24,0.06,0.022
4/10/2007,0.22,0.1,0.02,0.022
4/11/2007,-0.64,-0.1,0.12,0.022
4/12/2007,0.61,0.25,-0.19,0.022
4/13/2007,0.34,0.24,-0.07,0.022
4/16/2007,1.06,0.29,0.11,0.022
4/17/2007,0.09,-0.42,-0.12,0.022
4/18/2007,0,-0.72,0.44,0.022
4/19/2007,-0.23,-0.38,0.03,0.022
4/20/2007,0.89,0.19,0.04,0.022
4/23/2007,-0.24,0.07,-0.3,0.022
4/24/2007,-0.1,-0.04,-0.24,0.022
4/25/2007,0.91,-0.34,0.18,0.022
4/26/2007,-0.02,0.32,-0.35,0.022
4/27/2007,-0.13,-0.29,-0.3,0.022
4/30/2007,-0.93,-0.92,0.03,0.022
5/1/2007,0.22,-0.09,0.03,0.018
5/2/2007,0.79,0.61,0.02,0.018
5/3/2007,0.37,-0.35,0.32,0.018
5/4/2007,0.25,0.17,-0.02,0.018
5/7/2007,0.18,-0.37,0.33,0.018
5/8/2007,-0.13,-0.04,-0.11,0.018
5/9/2007,0.35,0.06,-0.02,0.018
5/10/2007,-1.42,-0.5,0.28,0.018
5/11/2007,0.95,0.18,0.06,0.018
5/14/2007,-0.28,-0.62,0.06,0.018
5/15/2007,-0.27,-0.8,0.28,0.018
5/16/2007,0.82,-0.21,0.05,0.018
5/17/2007,-0.1,-0.33,0.02,0.018
5/18/2007,0.66,0.4,-0.49,0.018
5/21/2007,0.31,0.92,-0.29,0.018
5/22/2007,0.08,0.71,-0.04,0.018
5/23/2007,-0.18,-0.22,-0.13,0.018
5/24/2007,-1.07,-0.42,-0.05,0.018
5/25/2007,0.55,0.23,-0.08,0.018
5/29/2007,0.24,0.6,0.01,0.018
5/30/2007,0.77,-0.23,-0.03,0.018
5/31/2007,0.13,0.35,-0.3,0.018
6/1/2007,0.44,0.36,-0.05,0.019
6/4/2007,0.18,0.07,-0.01,0.019
6/5/2007,-0.55,-0.12,-0.22,0.019
6/6/2007,-0.92,0.07,0.05,0.019
6/7/2007,-1.75,-0.04,0.06,0.019
6/8/2007,1.07,-0.06,0.03,0.019
6/11/2007,0.08,-0.29,0.11,0.019
6/12/2007,-1.06,-0.16,-0.18,0.019
6/13/2007,1.37,-0.19,-0.1,0.019
6/14/2007,0.5,0.1,-0.06,0.019
6/15/2007,0.69,0.52,-0.07,0.019
6/18/2007,-0.13,0.01,-0.1,0.019
6/19/2007,0.14,0,0.15,0.019
6/20/2007,-1.29,0.1,-0.18,0.019
6/21/2007,0.56,-0.16,0,0.019
6/22/2007,-1.25,0.61,-0.01,0.019
6/25/2007,-0.39,-0.41,-0.1,0.019
6/26/2007,-0.35,0.15,-0.3,0.019
6/27/2007,0.92,0.46,-0.39,0.019
6/28/2007,0.03,0.15,0.14,0.019
6/29/2007,-0.19,-0.35,0.11,0.019
7/2/2007,1.06,-0.07,0.12,0.019
7/3/2007,0.36,-0.04,-0.11,0.019
7/5/2007,0.07,0.2,-0.59,0.019
7/6/2007,0.4,-0.07,-0.08,0.019
7/9/2007,0.1,0.06,-0.06,0.019
7/10/2007,-1.43,-0.15,-0.38,0.019
7/11/2007,0.55,-0.28,-0.1,0.019
7/12/2007,1.78,-0.18,-0.3,0.019
7/13/2007,0.28,-0.31,0.08,0.019
7/16/2007,-0.31,-0.46,-0.24,0.019
7/17/2007,0.02,0.16,-0.24,0.019
7/18/2007,-0.25,-0.2,-0.18,0.019
7/19/2007,0.44,0.33,-0.49,0.019
7/20/2007,-1.25,-0.27,-0.19,0.019
7/23/2007,0.36,-0.41,-0.41,0.019
7/24/2007,-2.04,-0.52,-0.22,0.019
7/25/2007,0.3,-0.41,0.09,0.019
7/26/2007,-2.36,-0.01,-0.24,0.019
7/27/2007,-1.51,-0.07,0.13,0.019
7/30/2007,0.93,-0.24,-0.07,0.019
7/31/2007,-1.19,0.32,-0.03,0.019
8/1/2007,0.51,-0.49,-0.26,0.018
8/2/2007,0.55,0.15,-0.35,0.018
8/3/2007,-2.66,-0.64,-0.75,0.018
8/6/2007,2.07,-1.16,-0.42,0.018
8/7/2007,0.65,0.27,-0.68,0.018
8/8/2007,1.47,1.16,-0.76,0.018
8/9/2007,-2.74,1.63,-0.63,0.018
8/10/2007,0.03,0.06,1.36,0.018
8/13/2007,-0.06,-1.14,0.33,0.018
8/14/2007,-1.83,-0.04,-0.17,0.018
8/15/2007,-1.46,0.05,-0.04,0.018
8/16/2007,0.31,1.21,1.18,0.018
8/17/2007,2.36,-0.42,0.37,0.018
8/20/2007,0,0.15,-0.31,0.018
8/21/2007,0.15,-0.06,0.07,0.018
8/22/2007,1.2,0.05,-0.01,0.018
8/23/2007,-0.23,-0.96,0.17,0.018
8/24/2007,1.21,0.12,-0.22,0.018
8/27/2007,-0.85,-0.11,-0.14,0.018
8/28/2007,-2.33,-0.07,-0.41,0.018
8/29/2007,2.13,0.11,0.03,0.018
8/30/2007,-0.43,0,-0.49,0.018
8/31/2007,1.12,0.05,-0.07,0.018
9/4/2007,1.03,-0.21,0.03,0.017
9/5/2007,-1.05,0.04,-0.32,0.017
9/6/2007,0.42,0.01,-0.18,0.017
9/7/2007,-1.7,-0.29,0.18,0.017
9/10/2007,-0.27,-0.5,-0.23,0.017
9/11/2007,1.35,0.05,-0.33,0.017
9/12/2007,-0.03,-0.43,-0.21,0.017
9/13/2007,0.69,-0.69,0.3,0.017
9/14/2007,0.1,0.35,-0.06,0.017
9/17/2007,-0.6,-0.44,0.03,0.017
9/18/2007,2.88,0.59,0.37,0.017
9/19/2007,0.59,0.59,0.24,0.017
9/20/2007,-0.65,-0.14,-0.32,0.017
9/21/2007,0.43,-0.22,-0.24,0.017
9/24/2007,-0.56,-0.37,-0.63,0.017
9/25/2007,-0.03,-0.29,-0.37,0.017
9/26/2007,0.6,0.11,-0.08,0.017
9/27/2007,0.43,0.2,-0.05,0.017
9/28/2007,-0.37,-0.54,0.03,0.017
10/1/2007,1.37,0.81,0.07,0.014
10/2/2007,0.11,0.65,0.19,0.014
